tagid,tech discipline,skills,years of experience,comment,timestamp
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:55.984574
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.107571
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.311014
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.500701
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.679131
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.035998
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.206327
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.398494
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.574028
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.877334
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.124214
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.709193
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.326732
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.499022
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.544111
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.110108
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.301029
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.488781
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.927112
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.661273
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.707108
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.869067
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.130283
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.342195
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.561319
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.731997
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.931913
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:23.990083
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.318607
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.115755
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.495922
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.685352
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.893634
478,Data Science,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:48:16.055979
478,Data Analyst,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:48:19.637917
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:50.842621
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.037191
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.231047
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.411014
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.587253
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:50.664388
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.771288
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.956930
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:30.668300
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:30.869300
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.046298
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.233299
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.436990
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.625010
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.813011
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:31.994012
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:32.378719
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:32.572005
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:32.771982
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:32.940958
944,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:47:33.137502
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:45.544053
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:45.695048
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:45.882392
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:46.092012
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:46.276024
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:46.472355
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:46.642813
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:46.853717
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:47.003715
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:47.185087
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:47.405987
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:47.569986
22,Python Developer,"['Python', 'SQL', 'API']",0-2 years,Very interesting,2025-03-05T23:36:47.765988
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:44.199147
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:44.338146
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:44.735613
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:44.913615
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:45.321665
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:45.513009
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:45.096617
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:44.554619
1671,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,"Organization depends on my analysis expertise, and it makes me feel very important",2025-03-05T23:41:45.697058
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:26.239109
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:26.393212
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:26.616114
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:27.204829
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:26.810942
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:27.460704
133,Big Data,"['Python', 'cloud platform', 'ETL', 'Tableau']",2-4 years,One of the great parts i chose to follow,2025-03-05T23:37:27.009473
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:45.483656
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:45.665654
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:45.253653
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:45.860655
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:45.105658
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.043653
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.248655
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.477659
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.646659
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.788653
335,Data Science,"['Python', 'Machine learning', 'Power BI', 'SQL']",4-6 years,I'm glad i'm doing data science,2025-03-05T23:39:46.963654
5000,Big Data,"['Python', 'SQL', 'cloud platform', 'ETL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:49:00.146741
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:37.938089
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:38.117560
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:38.323268
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:38.496357
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:38.658357
202,Big Data,"['Python', 'API', 'ETL', 'cloud platform']",2-4 years,"Doing great with Azure you know!!!
",2025-03-06T00:58:38.854295
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:12.327481
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:12.546716
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:12.744018
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:12.940652
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:13.150646
200,Python Developer,"['Python', 'API', 'Power BI']",2-4 years,"Great work, Tutu
",2025-03-06T00:56:13.382070
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:53.826082
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:53.986866
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:54.201533
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:54.402350
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:54.599335
678,Generative AI,"['Machine learning', 'Python', 'API']",2-4 years,"we starting  NLP, Generative AI , Agentic AI , prompt Engineering!!!
",2025-03-06T00:57:54.778333
